Sucursal,Canal,Cliente
DX BERAZATEGUI 54,MB,DABRA
DX CABALLITO 170,MB,DABRA
DX CAMPANA 80,MB,DABRA
DX CATAMARCA 212,MB,DABRA
DX CENCOSUD 146,MB,DABRA
DX CENTRO 158,MB,DABRA
DX CENTRO 172,MB,DABRA
DX CORRIENTES 220,MB,DABRA
DX Congreso 213,MB,DABRA
DX DIGITAL,MB,DABRA
DX FLORES 36,MB,DABRA
DX FLOYCO 183,MB,DABRA
DX Florencio Varela 142,MB,DABRA
DX IRSA NEUQUEN 205,MB,DABRA
DX JUMBO 141,MB,DABRA
DX Jose C.Paz II 57,MB,DABRA
DX Junin 91,MB,DABRA
DX MENDOZA JUMBO III El Portal de lo,MB,DABRA
DX MORENO II 23,MB,DABRA
DX MORON  222,MB,DABRA
DX Martinez 186,MB,DABRA
DX Mendoza II 206,MB,DABRA
DX Mendoza Plaza Shopp. 132,MB,DABRA
DX Neuquen II 133,MB,DABRA
DX OLMOS 124,MB,DABRA
DX PACHECO 196,MB,DABRA
DX PALMAS DEL PILAR 147,MB,DABRA
DX PARQUE BROWN 125,MB,DABRA
DX PEATONAL 120,MB,DABRA
DX PEATONAL CORDOBA 233,MB,DABRA
DX PLAZA OESTE  58,MB,DABRA
DX POMPEYA II 20,MB,DABRA
DX QUIL. FACTORY 65,MB,DABRA
DX RUTA 123,MB,DABRA
DX SAN FERNANDO II 111,MB,DABRA
DX SAN LUIS II,MB,DABRA
DX SAN MARTIN 192,MB,DABRA
DX SAN MARTIN 28,MB,DABRA
DX SAN MARTIN 78,MB,DABRA
DX SAN NICOLAS 116,MB,DABRA
DX SHOP.SOLEIL 14,MB,DABRA
DX SOLANO IV 83,MB,DABRA
DX San Isidro 3,MB,DABRA
DX Santa Fe 114,MB,DABRA
DX TANDIL 92,MB,DABRA
DX Trelew 160,MB,DABRA
DX Tucuman 191,MB,DABRA
DX UNICENTER 53,MB,DABRA
DX Zarate 82,MB,DABRA
Dash(AMI) On Line - A40,MB,AMI MUSIC S.A.
Dash(AMI) PLAZA OESTE - S54,MB,AMI MUSIC S.A.
Dash(AMI) PORTAL TRELEW - S52,MB,AMI MUSIC S.A.
Dash(AMI) SAN JUSTO - S50,MB,AMI MUSIC S.A.
Dash(AMI) SAN LUIS SHOPPING - S47,MB,AMI MUSIC S.A.
Dash(AMI) SAN MIGUEL - S53,MB,AMI MUSIC S.A.
Dash(AMI) Zarate - S42,MB,AMI MUSIC S.A.
Deposito Feler,MB,ISRAEL FELER S.A.
Dexter  cabildo y JURAMENTO 184,MB,DABRA
Dexter Alto avellaneda Suc 238,MB,DABRA
Dexter MDQ Independencia SUC 239,MB,DABRA
Dexter MDQ Luro SUC 240,MB,DABRA
Dexter Shopping Portal Canning SUC 237,MB,DABRA
Dexter Villa Luzuriaga SUC 211,MB,DABRA
Drifters Digital,MB,DRIFTER S.A.
Drifters Guemes,MB,DRIFTER S.A.
Drifters Paseo Aldrey,MB,DRIFTER S.A.
Drifters Peatonal San Martin,MB,DRIFTER S.A.
Drifters Venta Mayorista,MB,DRIFTER S.A.
FLUID,MB,GRAELLS NELSON A.
FORLEDEN SHOPPING SAN JUSTO,MB,ISRAEL FELER S.A.
FUENCARRAL NUEVO CENTRO,MB,ADOLFO ZAKIAN S.A.
FUENCARRAL NVA CBA,MB,ADOLFO ZAKIAN S.A.
FUENCARRAL VILLA CABRERA,MB,ADOLFO ZAKIAN S.A.
GRAELLS DIONYSOS (BS AS),MB,GRAELLS NELSON A.
GRID ABASTO,MB,AMI MUSIC S.A.
GRID ALTO AVELLANEDA,MB,AMI MUSIC S.A.
GRID ALTO PALERMO,MB,AMI MUSIC S.A.
GRID CONSTITUYENTES,MB,AMI MUSIC S.A.
GRID DEPOSITO CENTRAL,MB,AMI MUSIC S.A.
GRID DEVOTO,MB,AMI MUSIC S.A.
GRID DIGITAL,MB,AMI MUSIC S.A.
GRID DOT,MB,AMI MUSIC S.A.
GRID JOSE C PAZ,MB,AMI MUSIC S.A.
GRID LAVALLOL,MB,AMI MUSIC S.A.
GRID MELI,MB,AMI MUSIC S.A.
GRID MORON,MB,AMI MUSIC S.A.
GRID NEUQUEN CENCOSUD,MB,AMI MUSIC S.A.
GRID PERGAMINO,MB,AMI MUSIC S.A.
GRID PLAZA OESTE,MB,AMI MUSIC S.A.
GRID RESISTENCIA,MB,AMI MUSIC S.A.
GRID SALTA,MB,AMI MUSIC S.A.
GRID SAN JUSTO,MB,AMI MUSIC S.A.
GRID SAN LUIS,MB,AMI MUSIC S.A.
GRID SAN MIGUEL,MB,AMI MUSIC S.A.
GRID SAN MIGUEL II,MB,AMI MUSIC S.A.
GRID TOM,MB,AMI MUSIC S.A.
GRID TRELEW,MB,AMI MUSIC S.A.
GRID TUCUMAN,MB,AMI MUSIC S.A.
GRID UNICENTER,MB,AMI MUSIC S.A.
Henzy 67,MB,ROSSETTI CARLOS ALBERTO
Henzy 68,MB,ROSSETTI CARLOS ALBERTO
Henzy 69,MB,ROSSETTI CARLOS ALBERTO
Henzy 70,MB,ROSSETTI CARLOS ALBERTO
Henzy 71,MB,ROSSETTI CARLOS ALBERTO
Henzy 82,MB,ROSSETTI CARLOS ALBERTO
Henzy 83,MB,ROSSETTI CARLOS ALBERTO
Henzy 84,MB,ROSSETTI CARLOS ALBERTO
Henzy 85,MB,ROSSETTI CARLOS ALBERTO
Henzy 86,MB,ROSSETTI CARLOS ALBERTO
Henzy 87,MB,ROSSETTI CARLOS ALBERTO
Henzy 88,MB,ROSSETTI CARLOS ALBERTO
KICKS MONTEVIDEO,MB,JEROME LTDA.
KICKS NUEVO CENTRO,MB,JEROME LTDA.
KICKS PUNTA SHOPPING,MB,JEROME LTDA.
LA CANCHA BLACK PUNTA DEL ESTE,MB,JEROME LTDA.
LA CANCHA Digital,MB,JEROME LTDA.
LA CANCHA LOCAL DE VENTA NIKE PORTONES,ND,JEROME LTDA.
LA CANCHA MONTEVIDEO SHOPPING,MB,JEROME LTDA.
LA CANCHA NIKE MDEO.SHOPPING,ND,JEROME LTDA.
LA CANCHA NIKE STORE NUEVO CENTRO,ND,JEROME LTDA.
LA CANCHA NUEVO CENTRO,MB,JEROME LTDA.
LA CANCHA PORTONES,MB,JEROME LTDA.
LA CANCHA PUNTA CARRETAS,ND,JEROME LTDA.
LA CANCHA TRES CRUCES,MB,JEROME LTDA.
Las Zapas Digital,MB,JEROME LTDA.
MACRI SPORT CENTER 18 de Julio -15,MB,MACRI
MACRI SPORT CENTER ASENCIO SALTO SPORT,MB,MACRI
MACRI SPORT CENTER Av Agraciada -08,MB,MACRI
MACRI SPORT CENTER CONVENCION,MB,MACRI
MACRI SPORT CENTER Centro -10,MB,MACRI
MACRI SPORT CENTER Colon -17,MB,MACRI
MACRI SPORT CENTER DIGITAL,MB,MACRI
MACRI SPORT CENTER DOLORES,MB,MACRI
MACRI SPORT CENTER DURAZNO,MB,MACRI
MACRI SPORT CENTER Fray Bentos -02,MB,MACRI
MACRI SPORT CENTER MANON,MB,MACRI
MACRI SPORT CENTER MELO,MB,MACRI
MACRI SPORT CENTER Maldonado -03,MB,MACRI
MACRI SPORT CENTER Mercedes -01,MB,MACRI
MACRI SPORT CENTER OUTLET MONTEVIDEO-SAN,MB,MACRI
MACRI SPORT CENTER OUTLET PAYSANDU,MB,MACRI
MACRI SPORT CENTER PAYSANDU TERMINAL,MB,MACRI
MACRI SPORT CENTER PROPIOS OUTLET,MB,MACRI
MACRI SPORT CENTER Paysandu -04,MB,MACRI
MACRI SPORT CENTER Punta del Este -06,MB,MACRI
MACRI SPORT CENTER SERRATO,MB,MACRI
MACRI SPORT CENTER Salto Centro -16,MB,MACRI
MACRI SPORT CENTER Salto Shopping -05,MB,MACRI
MACRI SPORT CENTER San Jose -13,MB,MACRI
MACRI SPORT CENTER Trinidad -14,MB,MACRI
MACRI SPORT CENTER Young -12,MB,MACRI
MACRI SPORT LIFE 8 de Octubre -07,MB,MACRI
MACRI SPORT LIFE DIGITAL,MB,MACRI
MACRI SPORT LIFE Tres Cruces -11,MB,MACRI
MARK DIGITAL,MB,AMI MUSIC S.A.
MARK EDISON,MB,AMI MUSIC S.A.
MARK MELI,MB,AMI MUSIC S.A.
MARK PLAZA OESTE,MB,AMI MUSIC S.A.
MARK SAN JUSTO,MB,AMI MUSIC S.A.
MDQ LE SPORTS Almacen Trip,MB,MDQ LE SPORT S.A.
MDQ LE SPORTS Planta Libertad,MB,MDQ LE SPORT S.A.
